NamaPembeli,Kelamin,Menikah,Tanggungan,Pendidikan,Pekerjaan,PendapatanUtama,PemasukanTambahan,JenisProperti,NUP,BookingFee,BiayaRumahTanah,UangMuka,PeriodeCicilan,RiwayatPinjaman,PersetujuanPembelian
Pembeli 018,P,Tidak,0,SMP,Buruh Lepas,<1jt,0,Rumah,Ya,Ya,220000000,61000000,18,2+,Tidak
Pembeli 019,L,Ya,3,SMA,PNS,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Tidak,Ya,149000000,42000000,18,2,Ya
Pembeli 020,L,Ya,3,Pasca Sarjana,Wiraswasta,20jt s.d. <30jt,5jt s.d. <10jt,Rumah,Tidak,Ya,227000000,72000000,18,2,Ya
Pembeli 021,L,Ya,1,SMP,Wiraswasta,>30jt,1jt s.d. <5jt,Rumah,Ya,Ya,194000000,94000000,18,2+,Ya
Pembeli 022,L,Ya,1,Sarjana,PNS,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Ya,Ya,237000000,84000000,18,0,Tidak
Pembeli 023,L,Ya,2,SMP,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,110000000,26000000,18,1,Ya
Pembeli 024,P,Ya,3+,Pasca Sarjana,Wiraswasta,20jt s.d. <30jt,10jt s.d. <20jt,Tanah,Ya,Ya,143000000,37000000,18,2,Ya
Pembeli 025,L,Ya,3+,SMP,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,122000000,20000000,18,1,Tidak
Pembeli 026,L,Ya,3+,SMA,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Ya,Ya,105000000,29000000,18,0,Ya
Pembeli 027,L,Ya,2,SD,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,130000000,23000000,18,2+,Tidak
Pembeli 028,L,Ya,1,Sarjana,POLRI-TNI,5jt s.d. <10jt,<1jt,Rumah,Tidak,Ya,241000000,59000000,18,1,Tidak
Pembeli 029,L,Tidak,0,SMA,PNS,5jt s.d. <10jt,<1jt,Rumah,Ya,Ya,188000000,61000000,18,1,Ya
Pembeli 030,P,Tidak,0,Pasca Sarjana,Wiraswasta,>30jt,1jt s.d. <5jt,Tanah,Ya,Ya,110000000,23000000,18,0,Ya
Pembeli 031,L,Ya,3,SMA,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Tidak,Ya,208000000,97000000,18,0,Ya
Pembeli 032,L,Tidak,0,SMP,Buruh Lepas,<1jt,0,Rumah,Tidak,Ya,203000000,80000000,18,2+,Tidak
Pembeli 033,L,Tidak,0,Pasca Sarjana,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Tidak,Ya,149000000,13000000,18,2+,Tidak
Pembeli 034,L,Ya,3+,Sarjana,Wiraswasta,20jt s.d. <30jt,1jt s.d. <5jt,Tanah,Ya,Ya,125000000,24000000,18,2,Ya
Pembeli 035,L,Tidak,0,SMP,Wiraswasta,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Ya,Ya,115000000,10000000,18,1,Ya
Pembeli 036,L,Ya,3+,Sarjana,Pegawai Swasta,1jt s.d. <5jt,<1jt,Rumah,Tidak,Ya,212000000,53000000,18,2,Tidak
Pembeli 037,L,Ya,1,Sarjana,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Tidak,Ya,221000000,93000000,18,2+,Tidak
Pembeli 038,P,Ya,3,SMP,Wiraswasta,>30jt,1jt s.d. <5jt,Tanah,Ya,Ya,127000000,21000000,18,2,Ya
Pembeli 039,L,Tidak,0,Pasca Sarjana,PNS,5jt s.d. <10jt,<1jt,Rumah,Tidak,Ya,249000000,62000000,18,0,Ya
Pembeli 040,L,Tidak,0,SMA,POLRI-TNI,5jt s.d. <10jt,<1jt,Tanah,Ya,Ya,138000000,12000000,18,2,Tidak
Pembeli 041,L,Tidak,0,SMA,PNS,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Tidak,Ya,222000000,78000000,18,2,Ya
Pembeli 042,L,Tidak,0,SMA,POLRI-TNI,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Ya,Ya,193000000,71000000,18,2,Ya
Pembeli 043,L,Ya,1,SMA,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Tidak,Ya,211000000,99000000,18,2,Tidak
Pembeli 044,L,Ya,3+,SD,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,111000000,44000000,18,0,Tidak
Pembeli 045,L,Ya,3+,Pasca Sarjana,PNS,1jt s.d. <5jt,5jt s.d. <10jt,Rumah,Ya,Ya,249000000,61000000,18,1,Ya
Pembeli 046,P,Tidak,0,SMA,Wiraswasta,20jt s.d. <30jt,1jt s.d. <5jt,Rumah,Tidak,Ya,183000000,95000000,18,2,Ya
Pembeli 047,L,Ya,2,Sarjana,POLRI-TNI,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Ya,Ya,247000000,61000000,18,0,Ya
Pembeli 048,L,Ya,3,SMA,POLRI-TNI,1jt s.d. <5jt,<1jt,Rumah,Tidak,Ya,180000000,81000000,18,2,Tidak
Pembeli 049,P,Ya,1,Sarjana,Wiraswasta,>30jt,1jt s.d. <5jt,Rumah,Ya,Ya,232000000,81000000,18,1,Ya
Pembeli 050,P,Tidak,0,SMP,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,100000000,11000000,18,2,Tidak
Pembeli 051,P,Ya,2,Pasca Sarjana,PNS,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Tidak,Ya,124000000,11000000,18,0,Ya
Pembeli 052,P,Tidak,0,SMA,Wiraswasta,20jt s.d. <30jt,10jt s.d. <20jt,Tanah,Ya,Ya,113000000,18000000,18,1,Ya
Pembeli 053,P,Tidak,0,SMA,POLRI-TNI,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Tidak,Ya,114000000,43000000,18,2+,Ya
Pembeli 054,L,Ya,3+,SMA,Pegawai Swasta,1jt s.d. <5jt,<1jt,Rumah,Ya,Ya,207000000,59000000,18,1,Ya
Pembeli 055,P,Ya,3+,SMP,Buruh Lepas,<1jt,0,Rumah,Ya,Ya,180000000,75000000,18,2+,Tidak
Pembeli 056,L,Ya,1,SMP,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,138000000,47000000,18,2+,Tidak
Pembeli 057,L,Ya,3+,SMA,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Tidak,Ya,115000000,47000000,18,2+,Tidak
Pembeli 058,L,Ya,1,Sarjana,POLRI-TNI,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Ya,Ya,105000000,25000000,18,1,Ya
Pembeli 059,L,Ya,3+,Sarjana,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Rumah,Ya,Ya,198000000,92000000,18,1,Ya
Pembeli 060,L,Ya,3,SMP,Buruh Lepas,<1jt,0,Rumah,Ya,Ya,189000000,57000000,18,0,Tidak
Pembeli 061,L,Ya,3,SMA,Wiraswasta,20jt s.d. <30jt,1jt s.d. <5jt,Rumah,Tidak,Ya,201000000,84000000,18,2,Ya
Pembeli 062,L,Ya,1,SMA,Wiraswasta,10jt s.d. <20jt,1jt s.d. <5jt,Rumah,Tidak,Ya,221000000,75000000,18,2,Tidak
Pembeli 063,L,Ya,3+,Pasca Sarjana,PNS,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Tidak,Ya,147000000,42000000,12,1,Ya
Pembeli 064,L,Ya,3+,SMA,Pegawai Swasta,1jt s.d. <5jt,<1jt,Tanah,Ya,Ya,118000000,26000000,18,2+,Ya
Pembeli 065,P,Tidak,0,SMP,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,106000000,43000000,18,2,Tidak
Pembeli 066,L,Ya,3+,SMP,Wiraswasta,>30jt,5jt s.d. <10jt,Tanah,Ya,Ya,110000000,11000000,18,0,Ya
Pembeli 067,L,Tidak,0,Pasca Sarjana,PNS,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Tidak,Ya,184000000,58000000,12,0,Ya
Pembeli 068,L,Ya,1,SMA,PNS,10jt s.d. <20jt,5jt s.d. <10jt,Rumah,Tidak,Ya,204000000,55000000,18,2,Ya
Pembeli 069,L,Ya,3+,Sarjana,POLRI-TNI,5jt s.d. <10jt,<1jt,Rumah,Tidak,Ya,186000000,70000000,24,2,Ya
Pembeli 070,P,Tidak,0,SMA,Wiraswasta,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Tidak,Ya,146000000,50000000,18,1,Ya
Pembeli 071,L,Ya,1,Sarjana,Wiraswasta,20jt s.d. <30jt,5jt s.d. <10jt,Rumah,Tidak,Ya,235000000,72000000,18,0,Ya
Pembeli 072,L,Ya,2,SMA,POLRI-TNI,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Ya,Ya,124000000,45000000,18,2,Ya
Pembeli 073,L,Tidak,0,Sarjana,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,107000000,50000000,18,1,Ya
Pembeli 074,L,Ya,1,Sarjana,PNS,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Tidak,Ya,136000000,32000000,12,2,Tidak
Pembeli 075,L,Ya,2,SMA,PNS,5jt s.d. <10jt,<1jt,Tanah,Tidak,Ya,104000000,47000000,18,2+,Tidak
Pembeli 076,L,Tidak,0,Pasca Sarjana,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Ya,Ya,186000000,70000000,24,0,Ya
Pembeli 077,L,Tidak,0,SMA,PNS,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Tidak,Ya,234000000,83000000,18,0,Ya
Pembeli 078,L,Ya,1,SMP,Wiraswasta,10jt s.d. <20jt,1jt s.d. <5jt,Rumah,Ya,Ya,188000000,93000000,18,2,Ya
Pembeli 079,L,Ya,2,SMP,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,130000000,33000000,18,1,Tidak
Pembeli 080,L,Ya,3+,SD,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,127000000,23000000,18,2,Tidak
Pembeli 081,P,Tidak,0,SMP,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,128000000,12000000,18,0,Tidak
Pembeli 082,L,Ya,3+,Pasca Sarjana,PNS,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Ya,Ya,146000000,39000000,18,1,Ya
Pembeli 083,P,Ya,2,SMA,Pegawai Swasta,5jt s.d. <10jt,<1jt,Rumah,Tidak,Ya,192000000,75000000,18,2+,Tidak
Pembeli 084,L,Ya,2,SD,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,146000000,13000000,18,2+,Tidak
Pembeli 085,L,Ya,3,SD,Buruh Lepas,<1jt,0,Rumah,Tidak,Ya,209000000,67000000,12,2,Tidak
Pembeli 086,L,Tidak,0,SMP,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,126000000,17000000,18,1,Ya
Pembeli 087,L,Ya,3+,SMP,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,117000000,19000000,18,2,Tidak
Pembeli 088,L,Ya,3+,SD,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,127000000,40000000,18,2,Tidak
Pembeli 089,L,Tidak,0,SMA,PNS,10jt s.d. <20jt,<1jt,Rumah,Ya,Ya,250000000,59000000,18,1,Ya
Pembeli 090,L,Ya,2,Sarjana,PNS,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Ya,Ya,117000000,48000000,18,2+,Tidak
Pembeli 091,L,Ya,1,SMP,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,100000000,43000000,18,2,Tidak
Pembeli 092,L,Ya,3,SD,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,115000000,17000000,12,0,Tidak
Pembeli 093,L,Ya,1,Pasca Sarjana,PNS,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Ya,Ya,187000000,70000000,18,2+,Tidak
Pembeli 094,L,Tidak,0,SMA,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Tidak,Ya,110000000,36000000,18,0,Ya
Pembeli 095,L,Tidak,0,SMA,POLRI-TNI,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Ya,Ya,129000000,14000000,12,2,Ya
Pembeli 096,L,Tidak,0,Pasca Sarjana,Pegawai Swasta,5jt s.d. <10jt,<1jt,Rumah,Tidak,Ya,181000000,76000000,18,2+,Tidak
Pembeli 097,P,Ya,3+,SMA,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Ya,Ya,127000000,17000000,18,0,Ya
Pembeli 098,L,Ya,1,Sarjana,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Ya,Ya,106000000,14000000,24,1,Ya
Pembeli 099,L,Ya,2,Sarjana,Wiraswasta,>30jt,1jt s.d. <5jt,Tanah,Tidak,Ya,142000000,10000000,12,0,Ya
Pembeli 100,L,Ya,2,SMA,POLRI-TNI,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Ya,Ya,149000000,10000000,18,2+,Tidak
Pembeli 101,L,Ya,1,SMA,POLRI-TNI,10jt s.d. <20jt,5jt s.d. <10jt,Rumah,Tidak,Ya,247000000,84000000,12,0,Ya
Pembeli 102,L,Tidak,0,Pasca Sarjana,Pegawai Swasta,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,104000000,37000000,18,0,Ya
Pembeli 103,L,Ya,1,Sarjana,Wiraswasta,5jt s.d. <10jt,1jt s.d. <5jt,Rumah,Tidak,Ya,199000000,86000000,18,2,Ya
Pembeli 104,L,Ya,3+,Sarjana,POLRI-TNI,10jt s.d. <20jt,<1jt,Tanah,Ya,Ya,103000000,37000000,18,2,Ya
Pembeli 105,L,Tidak,0,Sarjana,POLRI-TNI,5jt s.d. <10jt,5jt s.d. <10jt,Rumah,Ya,Ya,249000000,63000000,18,0,Ya
Pembeli 106,L,Ya,3,SD,Buruh Lepas,<1jt,0,Rumah,Ya,Ya,248000000,58000000,18,2,Tidak
Pembeli 107,L,Ya,3+,Pasca Sarjana,PNS,1jt s.d. <5jt,<1jt,Rumah,Tidak,Ya,218000000,69000000,18,2,Tidak
Pembeli 108,L,Tidak,0,SD,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,147000000,49000000,18,0,Tidak
Pembeli 109,L,Ya,2,SMP,Buruh Lepas,<1jt,0,Rumah,Ya,Ya,231000000,66000000,18,0,Tidak
Pembeli 110,L,Ya,3,Sarjana,Wiraswasta,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Tidak,Ya,141000000,42000000,24,2+,Ya
Pembeli 111,L,Tidak,0,SMA,PNS,5jt s.d. <10jt,<1jt,Rumah,Ya,Ya,189000000,64000000,18,1,Ya
Pembeli 112,P,Ya,2,SD,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,132000000,16000000,18,1,Tidak
Pembeli 113,L,Ya,2,SD,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,139000000,26000000,12,2,Tidak
Pembeli 114,P,Tidak,0,Sarjana,Pegawai Swasta,5jt s.d. <10jt,<1jt,Tanah,Tidak,Ya,135000000,43000000,18,2,Ya
Pembeli 115,L,Tidak,0,Sarjana,POLRI-TNI,1jt s.d. <5jt,<1jt,Tanah,Tidak,Ya,142000000,35000000,18,2+,Tidak
Pembeli 116,L,Ya,2,SMP,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,133000000,11000000,12,1,Tidak
Pembeli 117,P,Ya,3+,SMP,Wiraswasta,>30jt,1jt s.d. <5jt,Tanah,Ya,Ya,135000000,43000000,18,1,Ya
Pembeli 118,L,Ya,3,SMA,POLRI-TNI,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Ya,Ya,217000000,51000000,18,1,Tidak
Pembeli 119,L,Ya,3+,SD,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,147000000,44000000,18,0,Ya
Pembeli 120,P,Tidak,0,Pasca Sarjana,Wiraswasta,10jt s.d. <20jt,10jt s.d. <20jt,Rumah,Ya,Ya,229000000,85000000,18,2+,Tidak
Pembeli 121,L,Ya,2,Sarjana,POLRI-TNI,10jt s.d. <20jt,<1jt,Tanah,Tidak,Ya,122000000,14000000,18,1,Ya
Pembeli 122,P,Tidak,0,SD,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,103000000,17000000,18,2+,Tidak
Pembeli 123,P,Tidak,0,Pasca Sarjana,Pegawai Swasta,1jt s.d. <5jt,<1jt,Tanah,Ya,Ya,128000000,11000000,18,1,Ya
Pembeli 124,L,Ya,2,SMP,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,112000000,49000000,18,2+,Tidak
Pembeli 125,L,Ya,0,SMA,PNS,5jt s.d. <10jt,<1jt,Tanah,Ya,Ya,130000000,19000000,18,2,Ya
Pembeli 126,P,Tidak,0,Pasca Sarjana,Wiraswasta,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Tidak,Ya,149000000,44000000,18,2+,Ya
Pembeli 127,P,Ya,3+,SMA,Pegawai Swasta,1jt s.d. <5jt,<1jt,Tanah,Tidak,Ya,132000000,46000000,18,0,Tidak
Pembeli 128,L,Tidak,0,Sarjana,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Ya,Ya,148000000,23000000,18,2,Ya
Pembeli 129,L,Ya,1,Sarjana,POLRI-TNI,5jt s.d. <10jt,<1jt,Rumah,Tidak,Ya,215000000,94000000,12,0,Ya
Pembeli 130,L,Ya,0,SMA,POLRI-TNI,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Tidak,Ya,146000000,41000000,18,2,Ya
Pembeli 131,L,Tidak,0,SMA,PNS,10jt s.d. <20jt,<1jt,Rumah,Ya,Ya,217000000,64000000,24,1,Ya
Pembeli 132,L,Tidak,0,Pasca Sarjana,PNS,10jt s.d. <20jt,5jt s.d. <10jt,Rumah,Tidak,Ya,244000000,91000000,18,2,Ya
Pembeli 133,L,Tidak,0,SMA,POLRI-TNI,10jt s.d. <20jt,<1jt,Tanah,Tidak,Ya,133000000,45000000,18,2,Ya
Pembeli 134,L,Ya,0,Sarjana,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Tidak,Ya,145000000,46000000,12,2+,Ya
Pembeli 135,L,Tidak,0,Pasca Sarjana,Wiraswasta,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Tidak,Ya,149000000,42000000,18,2,Ya
Pembeli 136,L,Ya,3+,SD,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,104000000,14000000,18,1,Tidak
Pembeli 137,P,Ya,0,Sarjana,POLRI-TNI,1jt s.d. <5jt,<1jt,Tanah,Ya,Ya,109000000,46000000,18,1,Ya
Pembeli 138,L,Ya,2,SMA,Wiraswasta,20jt s.d. <30jt,10jt s.d. <20jt,Rumah,Ya,Ya,229000000,74000000,18,0,Ya
Pembeli 139,L,Tidak,0,Pasca Sarjana,Pegawai Swasta,1jt s.d. <5jt,<1jt,Tanah,Tidak,Ya,126000000,47000000,18,0,Tidak
Pembeli 140,L,Ya,2,Sarjana,POLRI-TNI,10jt s.d. <20jt,<1jt,Tanah,Tidak,Ya,122000000,13000000,18,1,Ya
Pembeli 141,L,Ya,2,Sarjana,Wiraswasta,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Ya,Ya,119000000,48000000,18,0,Ya
Pembeli 142,L,Tidak,0,SD,Buruh Lepas,<1jt,0,Rumah,Ya,Ya,250000000,80000000,18,2+,Tidak
Pembeli 143,L,Tidak,0,Sarjana,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Tidak,Ya,102000000,12000000,12,2+,Ya
Pembeli 144,L,Ya,0,Sarjana,PNS,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Tidak,Ya,141000000,10000000,18,0,Ya
Pembeli 145,L,Ya,2,Sarjana,PNS,1jt s.d. <5jt,1jt s.d. <5jt,Rumah,Tidak,Ya,204000000,80000000,12,1,Tidak
Pembeli 146,P,Ya,0,Pasca Sarjana,Pegawai Swasta,5jt s.d. <10jt,<1jt,Tanah,Tidak,Ya,128000000,35000000,18,2+,Ya
Pembeli 147,P,Ya,2,SMA,POLRI-TNI,1jt s.d. <5jt,<1jt,Rumah,Tidak,Ya,184000000,97000000,18,2,Ya
Pembeli 148,L,Ya,1,Sarjana,Pegawai Swasta,1jt s.d. <5jt,<1jt,Rumah,Ya,Ya,234000000,56000000,18,1,Tidak
Pembeli 149,P,Tidak,0,SMA,PNS,5jt s.d. <10jt,5jt s.d. <10jt,Tanah,Tidak,Ya,133000000,46000000,18,0,Ya
Pembeli 150,L,Ya,0,SMP,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,127000000,17000000,18,2,Tidak
Pembeli 151,L,Tidak,0,SMA,Wiraswasta,>30jt,10jt s.d. <20jt,Tanah,Ya,Ya,105000000,38000000,18,0,Ya
Pembeli 152,L,Ya,0,Sarjana,Wiraswasta,20jt s.d. <30jt,10jt s.d. <20jt,Tanah,Ya,Ya,106000000,50000000,18,1,Ya
Pembeli 153,L,Tidak,0,SMA,Pegawai Swasta,5jt s.d. <10jt,<1jt,Rumah,Ya,Ya,222000000,55000000,18,2+,Ya
Pembeli 154,L,Ya,2,SMA,POLRI-TNI,5jt s.d. <10jt,1jt s.d. <5jt,Tanah,Ya,Ya,100000000,44000000,18,0,Ya
Pembeli 155,L,Tidak,0,SMP,Wiraswasta,>30jt,5jt s.d. <10jt,Rumah,Tidak,Ya,205000000,91000000,18,1,Ya
Pembeli 156,L,Ya,3+,Sarjana,POLRI-TNI,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Ya,Ya,106000000,15000000,12,2,Ya
Pembeli 157,L,Ya,1,SMA,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Ya,Ya,142000000,12000000,18,0,Ya
Pembeli 158,L,Ya,1,Pasca Sarjana,Pegawai Swasta,5jt s.d. <10jt,<1jt,Rumah,Tidak,Ya,184000000,96000000,18,2,Ya
Pembeli 159,L,Tidak,0,SMA,PNS,1jt s.d. <5jt,5jt s.d. <10jt,Tanah,Tidak,Ya,124000000,37000000,18,2,Tidak
Pembeli 160,L,Ya,0,Sarjana,POLRI-TNI,10jt s.d. <20jt,<1jt,Tanah,Ya,Ya,128000000,28000000,18,2+,Ya
Pembeli 161,L,Ya,0,Pasca Sarjana,Wiraswasta,20jt s.d. <30jt,5jt s.d. <10jt,Tanah,Tidak,Ya,115000000,40000000,18,2+,Ya
Pembeli 162,L,Ya,0,Sarjana,POLRI-TNI,10jt s.d. <20jt,5jt s.d. <10jt,Rumah,Ya,Ya,241000000,72000000,18,2,Ya
Pembeli 163,L,Ya,1,SD,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,122000000,42000000,18,2+,Tidak
Pembeli 164,L,Ya,2,SMP,Buruh Lepas,<1jt,0,Tanah,Ya,Ya,149000000,10000000,18,1,Tidak
Pembeli 165,L,Ya,0,SD,Buruh Lepas,<1jt,0,Rumah,Ya,Ya,195000000,62000000,12,0,Tidak
Pembeli 166,L,Ya,0,SMP,Wiraswasta,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Tidak,Ya,138000000,30000000,12,2,Ya
Pembeli 167,P,Ya,0,SMP,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,117000000,47000000,18,1,Tidak
Pembeli 168,L,Ya,0,SMP,Buruh Lepas,<1jt,0,Tanah,Tidak,Ya,131000000,41000000,18,0,Tidak
Pembeli 169,L,Tidak,0,Sarjana,Wiraswasta,>30jt,1jt s.d. <5jt,Tanah,Ya,Ya,108000000,14000000,24,2,Ya
Pembeli 170,L,Ya,2,SMA,POLRI-TNI,10jt s.d. <20jt,1jt s.d. <5jt,Tanah,Tidak,Ya,112000000,43000000,18,1,Ya
Pembeli 171,L,Ya,0,SMA,Pegawai Swasta,1jt s.d. <5jt,1jt s.d. <5jt,Tanah,Tidak,Ya,119000000,39000000,18,1,Ya
Pembeli 172,L,Ya,3+,SMA,Pegawai Swasta,5jt s.d. <10jt,<1jt,Rumah,Tidak,Ya,213000000,51000000,18,1,Ya
Pembeli 173,L,Ya,3+,Pasca Sarjana,PNS,10jt s.d. <20jt,5jt s.d. <10jt,Tanah,Ya,Ya,115000000,26000000,12,2,Ya
Pembeli 174,L,Ya,0,Sarjana,Wiraswasta,>30jt,10jt s.d. <20jt,Tanah,Tidak,Ya,132000000,47000000,18,2+,Ya
Pembeli 175,L,Ya,0,SMA,Pegawai Swasta,5jt s.d. <10jt,<1jt,Tanah,Ya,Ya,139000000,30000000,18,2,Ya
